Sobota,4.5.,Květoslav,Ubývá
Neděle,5.5.,Klaudie - Květnové povstání českého lidu (1945),Ubývá
Pondělí,6.5.,Radoslav,Ubývá
Úterý,7.5.,Stanislav,Ubývá
Středa,8.5.,Den osvobození od fašismu (1945),Ubývá
Čtvrtek,9.5.,Ctibor,Ubývá
Pátek,10.5.,Blažena,Ubývá
Sobota,11.5.,Svatava,Ubývá
Neděle,12.5.,Pankrác,Ubývá
Pondělí,13.5.,Servác,Ubývá
Úterý,14.5.,Bonifác,Ubývá
Středa,15.5.,Žofie,Ubývá
Čtvrtek,16.5.,Přemysl,NOV
Pátek,17.5.,Aneta,Dorůstá
Sobota,18.5.,Nataša,Dorůstá
Neděle,19.5.,Ivo,Dorůstá
Pondělí,20.5.,Zbyšek,Dorůstá
Úterý,21.5.,Monika,Dorůstá
Středa,22.5.,Emil,Dorůstá
Čtvrtek,23.5.,Vladimír,Dorůstá
Pátek,24.5.,Jana,Dorůstá
Sobota,25.5.,Viola,Dorůstá
Neděle,26.5.,Filip,Dorůstá
Pondělí,27.5.,Valdemar,Dorůstá
Úterý,28.5.,Vilém,Dorůstá
Středa,29.5.,Maxmilián,Dorůstá
Čtvrtek,30.5.,Ferdinand,Dorůstá
Pátek,31.5.,Kamila,Úplněk - Jahodový Měsíc
Sobota,1.6.,Laura,Ubývá
Neděle,2.6.,Jarmil,Ubývá
Pondělí,3.6.,Tamara,Ubývá
Úterý,4.6.,Dalibor,Ubývá
Středa,5.6.,Dobroslav,Ubývá
Čtvrtek,6.6.,Norbert,Ubývá
Pátek,7.6.,Iveta a Slavoj,Ubývá
Sobota,8.6.,Medard,Ubývá
Neděle,9.6.,Stanislava,Ubývá
Pondělí,10.6.,Gita,Ubývá
Úterý,11.6.,Bruno,Ubývá
Středa,12.6.,Antonie,Ubývá
Čtvrtek,13.6.,Antonín,Ubývá
Pátek,14.6.,Roland,NOV
Sobota,15.6.,Vít,Dorůstá
Neděle,16.6.,Zbyněk,Dorůstá
Pondělí,17.6.,Adolf,Dorůstá
Úterý,18.6.,Milan,Dorůstá
Středa,19.6.,Leoš,Dorůstá
Čtvrtek,20.6.,Květa,Dorůstá
Pátek,21.6.,Alois,Dorůstá
Sobota,22.6.,Pavla,Dorůstá
Neděle,23.6.,Zdeňka,Dorůstá
Pondělí,24.6.,Jan,Dorůstá
Úterý,25.6.,Ivan,Dorůstá
Středa,26.6.,Adriana,Dorůstá
Čtvrtek,27.6.,Ladislav,Dorůstá
Pátek,28.6.,Lubomír,Dorůstá
Sobota,29.6.,Petr a Pavel,Dorůstá
Neděle,30.6.,Šárka,Úplněk - Bouřkový Měsíc
Pondělí,1.7.,Jaroslava,Ubývá
Úterý,2.7.,Patricie,Ubývá
Středa,3.7.,Radomír,Ubývá
Čtvrtek,4.7.,Prokop,Ubývá
Pátek,5.7.,Den slovanských věrozvěstů Cyrila a Metoděje,Ubývá
Sobota,6.7.,Upálení mistra Jana Husa (1415),Ubývá
Neděle,7.7.,Bohuslava,Ubývá
Pondělí,8.7.,Nora,Ubývá
Úterý,9.7.,Drahoslava,Ubývá
Středa,10.7.,Libuše a Amálie,Ubývá
Čtvrtek,11.7.,Olga,Ubývá
Pátek,12.7.,Bořek,Ubývá
Sobota,13.7.,Markéta,Ubývá
Neděle,14.7.,Karolína,NOV
Pondělí,15.7.,Jindřich,Dorůstá
Úterý,16.7.,Luboš,Dorůstá
Středa,17.7.,Martina,Dorůstá
Čtvrtek,18.7.,Drahomíra,Dorůstá
Pátek,19.7.,Čeněk,Dorůstá
Sobota,20.7.,Ilja,Dorůstá
Neděle,21.7.,Vítězslav,Dorůstá
Pondělí,22.7.,Magdaléna,Dorůstá
Úterý,23.7.,Libor,Dorůstá
Středa,24.7.,Kristýna,Dorůstá
Čtvrtek,25.7.,Jakub,Dorůstá
Pátek,26.7.,Anna,Dorůstá
Sobota,27.7.,Věroslav,Dorůstá
Neděle,28.7.,Viktor,Dorůstá
Pondělí,29.7.,Marta,Úplněk - Jeseteří Měsíc
Úterý,30.7.,Bořivoj,Ubývá
Středa,31.7.,Ignác,Ubývá
Čtvrtek,1.8.,Oskar,Ubývá
Pátek,2.8.,Gustav,Ubývá
Sobota,3.8.,Miluše,Ubývá
Neděle,4.8.,Dominik,Ubývá
Pondělí,5.8.,Kristián,Ubývá
Úterý,6.8.,Oldřiška,Ubývá
Středa,7.8.,Lada,Ubývá
Čtvrtek,8.8.,Soběslav,Ubývá
Pátek,9.8.,Roman,Ubývá
Sobota,10.8.,Vavřinec,Ubývá
Neděle,11.8.,Zuzana,Ubývá
Pondělí,12.8.,Klára,NOV
Úterý,13.8.,Alena,Dorůstá
Středa,14.8.,Alan,Dorůstá
Čtvrtek,15.8.,Hana,Dorůstá
Pátek,16.8.,Jáchym,Dorůstá
Sobota,17.8.,Petra,Dorůstá
Neděle,18.8.,Helena,Dorůstá
Pondělí,19.8.,Ludvík,Dorůstá
Úterý,20.8.,Bernard,Dorůstá
Středa,21.8.,Johana,Dorůstá
Čtvrtek,22.8.,Bohuslav,Dorůstá
Pátek,23.8.,Sandra,Dorůstá
Sobota,24.8.,Bartoloměj,Dorůstá
Neděle,25.8.,Radim,Dorůstá
Pondělí,26.8.,Luděk,Dorůstá
Úterý,27.8.,Otakar,Dorůstá
Středa,28.8.,Augustýn,Úplněk - Částečné zatmění
Čtvrtek,29.8.,Evelína,Ubývá
Pátek,30.8.,Vladěna,Ubývá
Sobota,31.8.,Pavlína,Ubývá
Neděle,1.9.,Linda a Samuel,Ubývá
Pondělí,2.9.,Adéla,Ubývá
Úterý,3.9.,Bronislav,Ubývá
Středa,4.9.,Jindřiška,Ubývá
Čtvrtek,5.9.,Boris,Ubývá
Pátek,6.9.,Boleslav,Ubývá
Sobota,7.9.,Regína,Ubývá
Neděle,8.9.,Mariana,Ubývá
Pondělí,9.9.,Daniela,Ubývá
Úterý,10.9.,Irma,NOV
Středa,11.9.,Denisa,Dorůstá
Čtvrtek,12.9.,Marie,Dorůstá
Pátek,13.9.,Lubor,Dorůstá
Sobota,14.9.,Radka,Dorůstá
Neděle,15.9.,Jolana,Dorůstá
Pondělí,16.9.,Ludmila,Dorůstá
Úterý,17.9.,Naděžda,Dorůstá
Středa,18.9.,Kryštof,Dorůstá
Čtvrtek,19.9.,Zita,Dorůstá
Pátek,20.9.,Oleg,Dorůstá
Sobota,21.9.,Matouš,Dorůstá
Neděle,22.9.,Darina,Dorůstá
Pondělí,23.9.,Berta,Dorůstá
Úterý,24.9.,Jaromír,Dorůstá
Středa,25.9.,Zlata,Dorůstá
Čtvrtek,26.9.,Andrea,Úplněk - Sklizňový Měsíc
Pátek,27.9.,Jonáš,Ubývá
Sobota,28.9.,Václav - Den české státnosti,Ubývá
Neděle,29.9.,Michal,Ubývá
Pondělí,30.9.,Jeroným,Ubývá
Úterý,1.10.,Igor,Ubývá
Středa,2.10.,Olívie,Ubývá
Čtvrtek,3.10.,Bohumil,Ubývá
Pátek,4.10.,František,Ubývá
Sobota,5.10.,Eliška,Ubývá
Neděle,6.10.,Hanuš,Ubývá
Pondělí,7.10.,Justýna,Ubývá
Úterý,8.10.,Věra,Ubývá
Středa,9.10.,Štefan a Sára,Ubývá
Čtvrtek,10.10.,Marina,NOV
Pátek,11.10.,Andrej,Dorůstá
Sobota,12.10.,Marcel,Dorůstá
Neděle,13.10.,Renáta,Dorůstá
Pondělí,14.10.,Agáta,Dorůstá
Úterý,15.10.,Tereza,Dorůstá
Středa,16.10.,Havel,Dorůstá
Čtvrtek,17.10.,Hedvika,Dorůstá
Pátek,18.10.,Lukáš,Dorůstá
Sobota,19.10.,Michaela,Dorůstá
Neděle,20.10.,Vendelín,Dorůstá
Pondělí,21.10.,Brigita,Dorůstá
Úterý,22.10.,Sabina,Dorůstá
Středa,23.10.,Teodor,Dorůstá
Čtvrtek,24.10.,Nina,Dorůstá
Pátek,25.10.,Beáta,Dorůstá
Sobota,26.10.,Erik,Úplněk - Lovecký Měsíc
Neděle,27.10.,Šarlota a Zoe,Ubývá
Pondělí,28.10.,Den vzniku samostatného československého státu (1918),Ubývá
Úterý,29.10.,Silvie,Ubývá
Středa,30.10.,Tadeáš,Ubývá
Čtvrtek,31.10.,Štěpánka,Ubývá
Pátek,1.11.,Felix,Ubývá
Sobota,2.11.,Památka zesnulých,Ubývá
Neděle,3.11.,Hubert,Ubývá
Pondělí,4.11.,Karel,Ubývá
Úterý,5.11.,Miriam,Ubývá
Středa,6.11.,Liběna,Ubývá
Čtvrtek,7.11.,Saskie,Ubývá
Pátek,8.11.,Bohumír,Ubývá
Sobota,9.11.,Bohdan,NOV
Neděle,10.11.,Evžen,Dorůstá
Pondělí,11.11.,Martin,Dorůstá
Úterý,12.11.,Benedikt,Dorůstá
Středa,13.11.,Tibor,Dorůstá
Čtvrtek,14.11.,Sáva,Dorůstá
Pátek,15.11.,Leopold,Dorůstá
Sobota,16.11.,Otmar,Dorůstá
Neděle,17.11.,Mahulena - Den boje studentů za svobodu a demokracii (1989),Dorůstá
Pondělí,18.11.,Romana,Dorůstá
Úterý,19.11.,Alžběta,Dorůstá
Středa,20.11.,Nikola,Dorůstá
Čtvrtek,21.11.,Albert,Dorůstá
Pátek,22.11.,Cecílie,Dorůstá
Sobota,23.11.,Klement,Dorůstá
Neděle,24.11.,Emílie,Úplněk - Bobří Měsíc
Pondělí,25.11.,Kateřina,Ubývá
Úterý,26.11.,Artur,Ubývá
Středa,27.11.,Xenie,Ubývá
Čtvrtek,28.11.,René,Ubývá
Pátek,29.11.,Zina,Ubývá
Sobota,30.11.,Ondřej,Ubývá
Neděle,1.12.,Iva,Ubývá
Pondělí,2.12.,Blanka,Ubývá
Úterý,3.12.,Svatoslav,Ubývá
Středa,4.12.,Barbora,Ubývá
Čtvrtek,5.12.,Jitka,Ubývá
Pátek,6.12.,Mikuláš,Ubývá
Sobota,7.12.,Ambrož a Benjamín,Ubývá
Neděle,8.12.,Květoslava,NOV
Pondělí,9.12.,Vratislav,Dorůstá
Úterý,10.12.,Julie,Dorůstá
Středa,11.12.,Dana,Dorůstá
Čtvrtek,12.12.,Simona,Dorůstá
Pátek,13.12.,Lucie,Dorůstá
